ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (m),Width (m),Height (m),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _customize_changeset_uuid
92,simple,,Samsung Galaxy J3 Pro,1,0,visible,,"Màn hình: 5"", HD,HĐH: Android 7.0,CPU: Exynos 7570 4 nhân 64-bit,RAM: 2 GB, ROM: 16 GB,Camera: 13 MP, Selfie: 5 MP,PIN: 2400 mAh",,,taxable,,1,,0,0,,,,,1,,,3990000₫,Samsung,,,https://cdn4.tgdd.vn/Products/Images/42/77849/samsung-galaxy-j3-pro-2017-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e20
93,simple,,Samsung Galaxy J2 Pro (2018),1,0,visible,,"Màn hình: 5"", qHD,HĐH: Android 7.1,CPU: Qualcomm Snapdragon 425 4 nhân 64-bit,RAM: 1.5 GB, ROM: 16 GB,Camera: 8 MP, Selfie: 5 MP,PIN: 2600 mAh",,,taxable,,1,,0,0,,,,,1,,,3290000₫,Samsung,,,https://cdn.tgdd.vn/Products/Images/42/145575/samsung-galaxy-j2-pro-2018-13-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e21
94,simple,,Samsung Galaxy J2 Pro (2018) Black,1,0,visible,,"Màn hình: 5"", qHD,HĐH: Android 7.1 (Nougat),CPU: Qualcomm Snapdragon 425,RAM: 1.5 GB, ROM: 16 GB,Camera: 8 MP, Selfie: 5 MP,PIN: 2600 mAh",,,taxable,,1,,0,0,,,,,1,,,3290000₫,Samsung,,,https://cdn1.tgdd.vn/Products/Images/42/159586/samsung-galaxy-j2-pro-2018-black-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e22
95,simple,,Samsung Galaxy J2 Prime,1,0,visible,,"Màn hình: 5"", qHD,HĐH: Android 6.0 (Marshmallow),CPU: MT6737 4 nhân,RAM: 1.5 GB, ROM: 8 GB,Camera: 8 MP, Selfie: 5 MP,PIN: 2600 mAh, SIM: 2 SIM",,,taxable,,1,,0,0,,,,,1,,,2690000₫,Samsung,,,https://cdn3.tgdd.vn/Products/Images/42/88573/samsung-galaxy-j2-prime-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e23
96,simple,,OPPO F7 128GB,1,0,visible,,"Màn hình: 6.23"", Full HD+,HĐH: ColorOS 5.0 (Android 8.1),CPU: MediaTek Helio P60,RAM: 6 GB, ROM: 128 GB,Camera: 16 MP, Selfie: 25 MP,PIN: 3400 mAh",,,taxable,,1,,0,0,,,,,1,,,9990000₫,OPPO,,,https://cdn4.tgdd.vn/Products/Images/42/158464/oppo-f7-128gb-den-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e24
97,simple,,OPPO F5 6GB,1,0,visible,,"Màn hình: 6"", FullHD+,HĐH: ColorOS 3.2 (Android 7.1),CPU: Mediatek Helio P23,RAM: 6 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 20 MP,PIN: 3200 mAh",,,taxable,,1,,0,0,,,,,1,,,8990000₫,OPPO,,,https://cdn1.tgdd.vn/Products/Images/42/142106/oppo-f5-6gb-anhava-1-200x200.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e25
98,simple,,OPPO F7,1,0,visible,,"Màn hình: 6.23"", Full HD+,HĐH: ColorOS 5.0 (Android 8.1),CPU: MediaTek Helio P60,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 25 MP,PIN: 3400 mAh",,,taxable,,1,,0,0,,,,,1,,,7990000₫,OPPO,,,https://cdn1.tgdd.vn/Products/Images/42/155261/oppo-f7-bac-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e26
99,simple,,OPPO F7 Black,1,0,visible,,"Màn hình: 6.23"", Full HD+,HĐH: ColorOS 5.0 (Android 8.1),CPU: MediaTek Helio P60,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 25 MP,PIN: 3400 mAh",,,taxable,,1,,0,0,,,,,1,,,7990000₫,OPPO,,,https://cdn1.tgdd.vn/Products/Images/42/162886/oppo-f7-black-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e27
100,simple,,OPPO F3 Plus,1,0,visible,,"Màn hình: 6"", Full HD,HĐH: Android 6.0 (Marshmallow),CPU: Snapdragon 653,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 16 MP và 8 MP,PIN: 4000 mAh",,,taxable,,1,,0,0,,,,,1,,,7490000₫,OPPO,,,https://cdn4.tgdd.vn/Products/Images/42/92569/oppo-f3-plus-vang-dong-1-200x200.png,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e28
101,simple,,Oppo F5,1,0,visible,,"Màn hình: 6"", FullHD+,HĐH: ColorOS 3.2 (Android 7.1),CPU: Helio P23 8 nhân,RAM: 4 GB, ROM: 32 GB,Camera: 16 MP, Selfie: 20 MP,PIN: 3200 mAh",,,taxable,,1,,0,0,,,,,1,,,6990000₫,OPPO,,,https://cdn.tgdd.vn/Products/Images/42/131915/oppo-f5-red-600x600-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e29
102,simple,,OPPO F5 Youth,1,0,visible,,"Màn hình: 6"", FullHD+,HĐH: ColorOS 3.2 (Android 7.1),CPU: Mediatek Helio P23,RAM: 3 GB, ROM: 32 GB,Camera: 13 MP, Selfie: 16 MP,PIN: 3200 mAh",,,taxable,,1,,0,0,,,,,1,,,5990000₫,OPPO,,,https://cdn3.tgdd.vn/Products/Images/42/141763/oppo-f5-youth-vang-hong-6001-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e30
103,simple,,OPPO A83,1,0,visible,,"Màn hình: 5.7"", HD+,HĐH: Android 7.1,CPU: Mediatek Helio P23,RAM: 3 GB, ROM: 32 GB,Camera: 13 MP, Selfie: 8 MP,PIN: 3180 mAh",,,taxable,,1,,0,0,,,,,1,,,4990000₫,OPPO,,,https://cdn.tgdd.vn/Products/Images/42/145295/oppo-a83-600x600-200x200.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e31
104,simple,,OPPO A83 2018 (không tai nghe),1,0,visible,,"Màn hình: 5.7"", HD+,HĐH: Android 7.1 (Nougat),CPU: Mediatek Helio P23,RAM: 3 GB, ROM: 32 GB,Camera: 13 MP, Selfie: 8 MP,PIN: 3180 mAh",,,taxable,,1,,0,0,,,,,1,,,Hàng sắp về,OPPO,,,https://cdn2.tgdd.vn/Products/Images/42/165022/oppo-a83-2018-khong-tai-nghe-xanh-duong-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e32
105,simple,,OPPO F3 Lite (A57),1,0,visible,,"Màn hình: 5.2"", HD,HĐH: Android 6.0 (Marshmallow),CPU: Snapdragon 435 8 nhân,RAM: 3 GB, ROM: 32 GB,Camera: 13 MP, Selfie: 16 MP,PIN: 2900 mAh, SIM: 2 SIM",,,taxable,,1,,0,0,,,,,1,,,3990000₫,OPPO,,,https://cdn2.tgdd.vn/Products/Images/42/89422/oppo-a57-14-200x200.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e33
106,simple,,OPPO A71 32GB (2018),1,0,visible,,"Màn hình: 5.2"", HD,HĐH: Android 7.1 (Nougat),CPU: Qualcomm Snapdragon 450,RAM: 3 GB, ROM: 32 GB,Camera: 13 MP, Selfie: 5 MP,PIN: 3000 mAh",,,taxable,,1,,0,0,,,,,1,,,4190000₫,OPPO,,,https://cdn.tgdd.vn/Products/Images/42/158280/oppo-a71-32gb-2018-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e34
107,simple,,OPPO A71 (2018),1,0,visible,,"Màn hình: 5.2"", HD,HĐH: Android 7.1,CPU: Qualcomm Snapdragon 450,RAM: 2 GB, ROM: 16 GB,Camera: 13 MP, Selfie: 5 MP,PIN: 3000 mAh",,,taxable,,1,,0,0,,,,,1,,,3690000₫,OPPO,,,https://cdn3.tgdd.vn/Products/Images/42/149778/oppo-a71-2018-hong-200x200.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e35
108,simple,,OPPO A71k (2018),1,0,visible,,"Màn hình: 5.2"", HD,HĐH: ColorOS 3.2 (Android 7.1),CPU: Qualcomm Snapdragon 450,RAM: 2 GB, ROM: 16 GB,Camera: 13 MP, Selfie: 5 MP,PIN: 3000 mAh",,,taxable,,1,,0,0,,,,,1,,,3590000₫,OPPO,,,https://cdn1.tgdd.vn/Products/Images/42/160716/oppo-a71-mau-xanh-2018-1-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e36
109,simple,,OPPO A37 (A37fw),1,0,visible,,"Màn hình: 5"", HD,HĐH: Android 5.1 (Lollipop),CPU: Snapdragon 410 4 nhân,RAM: 2 GB, ROM: 16 GB,Camera: 8 MP, Selfie: 5 MP,PIN: 2630 mAh, SIM: 2 SIM",,,taxable,,1,,0,0,,,,,1,,,3290000₫,OPPO,,,https://cdn1.tgdd.vn/Products/Images/42/103846/oppo-a37-a37fw-pp-200x200.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e37
110,simple,,Sony Xperia XZ2,1,0,visible,,"Màn hình: 5.7"", Full HD+,HĐH: Android 8.0,CPU: Snapdragon 845 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 19 MP, Selfie: 5 MP,PIN: 3180 mAh",,,taxable,,1,,0,0,,,,,1,,,19990000₫,Sony,,,https://cdn4.tgdd.vn/Products/Images/42/146014/sony-xperia-xz2-1-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e38
